source_id,parallax (mas),parallax_error (mas),pf (days),pf_error (days),int_average_g (mag),int_average_g_error (mag),absolute magnitude / mag,luminosity/watts
4099881605093070000,0.05,0.05,3.083423759,5.28E-04,15.70,0.02,-0.896582497,1.3245E+28
419703349473530000,0.0322451,0.01,15.46655583,0.00,13.44,0.00,-4.013518344,7.60733E+26
6761158378053560000,0.06,0.03,36.01651327,0.08,14.45,0.02,-1.81352064,5.71515E+27
5858981084344250000,0.04,0.02,4.29578047,3.73E-05,14.93,9.51E-04,-2.277568621,3.73504E+27
4064918612818380000,0.186731047,0.11,1.859112232,3.23E-04,16.60,0.02,2.956019664,4.52616E+29
5322736687721930000,0.07,0.04,2.429073707,7.23E-05,16.33,0.01,0.652691681,5.48024E+28
5322875157471160000,0.04,0.02,2.044746924,4.45E-05,15.13,0.01,-1.854505018,5.50442E+27
5322878146768500000,0.02166518,0.02,3.184651336,3.22E-05,14.61,0.00,-3.709173498,1.00551E+27
2045846103109300000,0.03,0.02,2.509721198,2.73E-05,15.29,0.01,-2.223807492,3.92371E+27
4110849096171890000,0.10,0.03,10.93023384,0.00,14.33,0.00,-0.742993643,1.52473E+28
4663654817788620000,0.02,0.03,2.971516009,3.05E-05,16.02,6.42E-04,-2.474081056,3.11936E+27
4663664026198860000,0.01,0.03,2.682775859,1.14E-05,16.16,5.35E-04,-4.80780784,3.67311E+26
4663665946029020000,0.725282776,0.14,3.822894825,2.34E-04,15.65,0.00,4.957520319,2.83469E+30
4663666736302050000,0.07,0.05,1.770966601,1.85E-05,16.48,0.00,0.715260559,5.80374E+28
4663760164739510000,0.027438917,0.02,8.126539447,2.35E-04,14.54,0.00,-3.264764181,1.51113E+27
4663762020165490000,0.027404783,0.03,3.139398825,1.99E-05,15.93,5.42E-04,-1.883200188,5.36153E+27
4664051638395750000,0.02,0.03,3.69,5.37E-05,15.67,0.00,-3.306341093,1.45463E+27
4664612492399400000,0.023332162,0.01,108.6538544,0.16,12.12,0.01,-6.037914075,1.18944E+26
4664701999513620000,0.043984092,0.11,1.206972079,7.79E-06,18.42,0.00,1.639948158,1.35462E+29
4303566305876070000,0.03,0.26,1.022750448,2.66E-05,19.33,0.02,1.968016959,1.82985E+29
4303770918113980000,0.213102881,0.01,6.178911883,1.83E-04,9.72,0.00,-3.633273394,1.07796E+27
4113644634448900000,0.163123466,0.02,13.46008175,0.01,11.93,0.00,-2.010664803,4.77031E+27
5867516833579130000,0.166760668,0.22,16.2006536,0.01,18.77,0.01,4.876958132,2.6329E+30
4106688097470090000,0.114020741,0.04,7.268104038,0.00,15.50,0.01,0.780715288,6.16261E+28
5265220955291020000,0.02,0.07,6.218008658,7.29E-04,17.29,0.00,-1.501715129,7.60596E+27
2932101334643040000,0.164444328,0.02,2.55777684,2.55E-05,12.63,0.01,-1.294534508,9.19666E+27
2932737092877180000,0.125377634,0.01,3.156181552,6.09E-05,12.36,0.01,-2.150532643,4.1963E+27
2202086018216870000,0.09,0.03,2.912720838,9.15E-05,15.28,0.00,0.12781487,3.38729E+28
2202500843341250000,0.08,0.01,3.759368386,7.88E-05,13.81,0.00,-1.757620537,6.01562E+27
4260210878780630000,0.240796067,0.03,17.14244458,9.20E-04,10.91,0.00,-2.182228051,4.07614E+27
4514869866387890000,0.604586545,0.02,4.842823844,4.98E-04,10.75,0.01,-0.34468061,2.19663E+28
6011444142566280000,0.200097408,0.02,7.598010093,0.00,12.72,0.00,-0.771438688,1.48549E+28
